,data_clean
2079,thing keen pre allocate seating pain especially want specific seat extra leg room
2080,lhr ath log check soon open approx seat select ath lhr approx seat
2081,fortunately extra legroom seat outbound inbound ask agent airport seat available
2082,bit tap away extra legroom seat inbound flight appreciate
2083,select seat
2084,boarding usual chaos notice announcement board passenger seat bet seat big deal way reflect airline
2085,definitely continue use aegean fly greece
2086,athen lemno
2087,fly aegean time year issue
2088,luggage lose recent trip lemnos
2089,aegean ground staff lemnos airport limit transparency situation
2090,assume operation outsource poor communication skill process athen baggage
2091,aegean staff extremely accommodate question follow actual fact sympathise position similar situation
2092,luggage arrive hour later
2093,short pleasant experience lost luggage communication staff customer
2094,fly aegean provide internal communication improve
2095,fly zurich rhode
2096,disappoint aegean
2097,online check process straight forward click airline step
2098,plane delay min traffic zurich captain crew update passenger constantly
2099,leg space average
2100,food good short inexpensive flight
2101,big difference flight crew
2102,formal politeness crew member hesitate human
2103,nice speak spontaneously passenger joke caring enthusiastic child
2104,great work loyal passenger
2105,london athen
2106,poor performance aegean airline july
2107,delay departure arrive athen minute late hot cabin rude staff board
2108,use regular customer change wouldn recommend
2109,nice experience aegean airline
2110,fly warsaw santorini athen layover
2111,flight nice leave time
2112,pre order halal meal flight good meal
2113,athen airport bit good year easy connect able sleep airport
2114,second flight leave 15am boarding bus bit chaotic managable flight short receive chocolate croissant
2115,berlin athen
2116,aegean preferred airline travel greece
2117,aircraft new clean lot leg space
2118,staff friendly food beverage regional flight
2119,flight time cause delay
2120,price good
2121,excellent airline highly recommend
2122,chania athen
2123,short flight hour
2124,seat configuration middle seat block tray
2125,business class cabin row
2126,comfortable seat good leg space
2127,basket lozenge pass newspaper greek language offer
2128,boarding bit disorganized wait outside security hold area tarmac bus aircraft 100 foot away
2129,air open faced cold sandwich drink serve tray hotel towel
2130,flight attendant exceedingly efficient complete task short period change uniform suit specific role wear cap scarf welcome board remove apron serve meal formally attire touch
2131,flight announcement frequent clear english greek
2132,view window beautifully town chania later coast island greece
2133,
2134,large bus mean business class passenger whisk away terminal
2135,flight
2136,thessaloniki athen aircraft early morning flight
2137,flight olympic air code fully operate book aegean
2138,accord plan
2139,timely departure arrival orderly embarkation hand luggage cabin courteous staff
2140,service include biscuit drink minute flight
2141,choice seat charge
2142,satisfied good low cost competition ryanair price think add attempt sell trick
2143,manchester athen return
2144,delay manchester way time
2145,way delay athen information long delay board
2146,aware hour late captain announce arrival time later flight
2147,point delay acknowledge apology
2148,aegean airline fairly new new fleet a320´s
2149,service generally good unfortunately airline let kid travel
2150,use flight assistance service guarantee unaccompanied girl sit close flight crew look fly copenhagen athen
2151,deny sit middle far away flight attendant
2152,gold member possible seat allocation advance
2153,santorini athen
2154,flight pleasant
2155,staff friendly helpful plane clean maintain
2156,snack drink serve matter flight short minute
2157,fact ife matter
2158,milan athen aegean airline
2159,staff friendly onboard service good
2160,business class seat usual mean seat midle seat
2161,extra leg room suggest book seat advance choose row seat
2162,book seat business class time like
2163,food
2164,maybe want serve greek dish result tasteful
2165,time wish steak vegetable instead chicken cook way
2166,concern wine serve month different wine area greece
2167,red wine taste cephalonia excellent
2168,use aegean airline long time frequent traveler year participate mile bonus program
2169,flight frankfurt athen surprise notice spacing seat decrease
2170,small space knee seat time passenger fully recline end actually stand majority flight time
2171,hand cabin crew pleasant helpful coplimentary food beverage average aircraft clean new
2172,wouldn like aegean path budget low cost airline seating lately way
2173,hope flight july bad
2174,athen milano
2175,think aegean good economy class product short haul flight europe
2176,seat comfortable book seat 48hrs advance use echeckin service select emergency exit row free charge
2177,lot airline charge euro seat
2178,airline serve hot meal
2179,flight athen milano company serve cold sandwich
2180,serve hot breakfast plus yougurt honey juice coffee
2181,plane depart minute delay arrive time
2182,fly aegean athen london heathrow
2183,flight depart time
2184,fair quality food
2185,low cholesterol breakfast consist omelete grill vegetable
2186,passenger receive hot bread stuff cheese better low cholesterol meal
2187,ask fish meal awful
2188,plane staff provide good service
2189,fly time year athen highlight journey fly aegean
2190,perfect service food onboard
2191,smile crew
2192,appreciate especially late return flight stockholm friday
2193,appreciate high service level contact phone
2194,short wait time perfect service
2195,proposal future improvement inflight announcement english carry speed articulate message understand
2196,promote aegean friend family member sweden finland
2197,satisfied
2198,mention message issue
2200,greek company proud
2201,fly aegean airline athen copenhagen
2202,absolutely perfect
2203,nice staff friendly
2204,brand new clean aircraft good inflight entertainment
2205,lastly food good tasteful ticket little bit expensive
2206,munich athen
2207,good experience total
2208,food good fine
2209,friendly cabin crew
2210,
2211,bit frustrated mile bonus reward program
2212,limited seat
2213,try book use mile availability week row route flight day
2214,possible
2215,generous mile
2216,time choose aegean order collect mile use
2217,waste minute apply collect mile win able spend date want
2218,cheap flight free pay tax
2219,time fly aegean airline
2220,time use airline satisfied
2221,time kalamata lyon good flight
2222,check online fine
2223,check line kalamata airport fine waiting long
2224,flight time land lyon earlier schedule
2225,entertaiment airline magazine
2226,cabin crew probably good experience
2227,service amazing tasty hot meal short flight
2228,flight attendant nice friendly extra mile ask need
2229,overall aegean airline probably good short haul airline
2230,hesitate fly need connection different city
2231,milan athen return
2232,good flight aegean
2233,nice crew regular information cockpit a321 good legroom good service board
2234,athen airbridge
2235,thing improve ife board food good
2236,doubt aegean good option milan athen
2237,continue mantain quality use
2238,great airline problem fact late minute way stockholm athen chania home stockholm
2239,wait aircraft minute suppose takeoff
2240,seat expect good economy flight
2241,short clip greece
2242,bright food good airplane meal
2243,order lacto ovo vegeratian great
2244,taste excellent
2245,plain pasta zucchini cheese home omelette cheese
2246,friend normal food good
2247,serve nice treat drink appropriate time
2248,cabin crew friendly english improve talk bit slow
2249,barely hear
2250,example explain late understand wrong aircraft
2252,aegean airline way lisbon greece past year
2253,
2254,friendly crew eager provide assistance passenger
2255,flight info trip captain
2256,comfortable clean seat
2257,
2258,book ticket advance interesting offer
2259,wait flight
2260,larnaca budapest athen
2261,time transportation plane board fine
2262,specially fly dog cabin happy manage aegean airline
2263,crew member helpful kind food excellent
2264,way change departure time flight larnaca athen
2265,start hour original schedule
2266,receive mail hour change departure time
2267,unfortunately able read internet service error
2268,phone minute departure travel airport transfer bus larnaca chance time airport
2269,athen istanbul august 2016
2270,fly aegean dozen time past year
2271,travel greece year australia enjoyable service aegean airline cabin crew
2272,recently upgrade silver aegean mile bonus complimentary business class upgrade use year
2273,recommend aegean airline travel europe route offer airline
2274,istanbul athen
2275,
2276,crew friendly helpful
2277,serve cold snack drink coffee easter treat
2278,dhc propeler aircraft noisy narrow somewhat inappropriate international flight
2279,hope replace soon
2280,barcelona athen
2281,easter season passenger chocolate easter egg
2282,flight time
2283,airplane clean bathroom
2284,hot towel lavender scent provide welcome drink
2285,food excellent
2286,seat leather recline
2287,airline magazine available passenger tour greece cyprus play overhead
2288,inflight shopping available
2289,crew speak good english
2290,good flight certainly fly aegean airline
2292,considerable short flight hour effort staff tourist statisfi provide wide variety newspapaer beverage
2293,good info updating cockpit
2294,use
2295,athen amsterdam return flight
2296,aegean maintain lot element service concept apart hold luggage pay
2297,punctual outward flight return flight hour delay traffic strong wind ams
2298,flight airport delay
2299,wait long time untli seat aircraft
2300,request different meal option request seafood great accompany nice wine peloponesse
2301,aegean consistenly good level service airline
2302,happy fly
2303,milan cairo athen
2304,pleasantly surprise service onboard short flight approx
2305,
2306,flight aegean
2307,service quick begin offer small candy
2308,food tasty small portion sufficient short flight
2309,good selection drink
2310,friendly staff aircraft clean
2311,strange thing transfer athen
2312,come non schengen country continue schengen country leave transit area public area pass security control duty free shop
2313,generally recommend fly aegean
2314,aegean star carrier
2315,tel aviv madrid athen
2316,kudo aegean specific section booking website indicate disability passenger regrettable good use information provide
2317,wife blind travel guide dog
2318,airline good accommodation guide dog experience european airline understanding reasonable accommodation
2319,recognize aegean typical bulkhead allow little space assistance dog block center seat flight check instead provide seat row coach place row row leg tel aviv athen athen madrid respectively
2320,right center plane mean necessary negotiate long stretch narrow center corridor embarkation disembarkation difficult access bathroom facility
2321,odd thing complete reservation online aegean specifically assure place row coach class
2322,obviously waste airport tell seat set aside unsure able block center seat second leg
2323,aegean lesson delta american handle guide dog
2324,issue plane way hot
2325,flight ask temperature lower
2326,inform end plane maintain degree mean center plane hot lower temperature better serve center complaint plane cold
2327,plane cold person add additional clothing plane hot shirt sleeve ther remain decent
2328,obviously design flaw equipment equipment use aegean examine cabin temperature maintain people center plane endure excessive heat
2329,overall rating issue discuss
2330,unfortunate circumstance rating
2331,aegean use good airline year adopt low cost airline habit fare high
2332,flight a3601 london heathrow athen
2333,airport hour flight business class check close
2334,thing happen month ago
2335,use economy check minute queue tell airport staff unfortunately aegean pay business class check open time airline open later
2336,shocking
2337,aegean afford business class check open sell business class ticket fly heathrow
2338,arrive athen a321 200 passenger middle storm park remote stand air bridge
2339,common practice aegean excuse air bridge occupy simply true occasion nearly free
2340,aegean clearly cut corner fare high
2341,level service drop significantly point cost passenger
2342,lose
2343,know reach level year ago fly star alliance airline unfortunately recommend aegean
2344,fly athen frankfurt
2345,aircraft new clean
2346,crew big smile ready assist passenger problem
2347,pilot experience feel comfortable fly aegean
2348,food quality excellent quantity adequate
2349,choice fly
2350,hamburg athen
2351,flight excellent punctual crew friendly
2352,receive excellent service
2353,delicious meal offer
2354,offer free include drink
2355,crew care warm smile
2357,good airline fly aegean airline respect passeger
2358,flight hour meal offer common short flight operate airline europe
2359,cabin crew nice
2360,recommend use airline
2362,cabin staff professional aircraft spacious look immaculately clean new usually delay
2363,case half hour delay reason apology
2364,breakfast cheese pie practically cheese completely tasteless
2365,destination flight park away terminal use good old bus transport
2366,excuse jetway joke
2367,vienna athen
2368,gate offer option check hand luggage discretion like
2369,flight time
2370,seat space tight consider low cost carrier compare airline group star alliance hour flight tolerable
2371,cabin crew polite passenger friction stewardess
2372,
2373,pleasure fly aegean airline
2374,crew friendly service rarely
2375,aegean airline company personality behave client satisfied service
2376,pleasant flight berlin tegel athen
2377,flight bit expensive competition cheap 47eur way ticket
2378,worth flight time civilized 15am
2379,flight plenty space issue hand luggage
2380,depart arrive time
2381,order kosher meal great term quality quantity
2382,plenty drink food drink include price ticket
2383,choice seat free request emergency exit seat
2384,slightly expensive flight low cost competition account ancillary include food drink convenience flight time worth price
2385,good job
2386,fly athen madrid
2387,aegean business economy flight good
2388,punctuality cabin service ground staff center frequent flyer programme excellent
2389,regret principally fly a320 instead a321
2390,cabin crew pleasant professional
2391,athen frankfurt
2392,
2393,flight fully book boarding time fast easy
2394,cabin crew friendly helpful flight arrive time
2395,glitch suitcase arrive break responsibility frankfurt airport staff airline
2396,nonetheless aegean offer new suitcase replacement free
2397,athen milan aegean airline
2398,
2399,despite flight overbook ask volunteer book available flight compensation free ticket board small delay land time
2400,seat clean comfortable feature excellent legroom space
2401,staff smile friendly
2402,meal great surprise
2403,offer tasteful second course option selection traditional food region greece
2404,wine list good
2405,dessert delicious cake serve greek yoghurt
2406,travel mytilini athen good flight smooth landing
2407,seat comfortable
2408,food serve flight minute
2409,aegean airline manage provide good service big airline short route
2410,definitely deserve star
2411,paris athen new a320 sharklet
2412,plane clean inside quiet
2413,soon offer selection drink newspaper warm towel
2414,serve greek delicacy rooster braise red wine sauce accompany noodle green
2415,finish meal drink soon hour away destination
2416,land time
2417,good overall experience
2418,
2419,athen warsaw return group friend seperate booking
2420,aegean airline maintain lot element old airline service industry
2421,online check selection seat available choice seat vary depend booking class ticket frequent flyer status
2422,flight economy
2423,charge check luggage allow check hand luggage cabin cramp
2424,food satisfactory return flight request seafood meal superb combination nice local white wine
2425,option request different type meal depend dietic preference
2426,crew polite professional
2428,bridge use time
2429,fly aegean normally stressless comforting experience time exception
2430,cabin crew service remain class
2431,age airline europe abandon inflight service aegean crew run deliver drink
2432,hot meal serve pastitsio superb greek salad greek desert
2433,welcome board gift wrap pomegranate lucky charm new year
2434,plane new spotless
2436,aegean crew congratulate warm welcome hard work hour flight
2437,fly aegean treat
2438,athen rome aegean airline
2439,attendant extremely polite warm willing help christma trick child
2440,food time travel change small portion low quality
2441,old time food airline exceptional
2442,suppose competency low cost airline
2443,addition online check appear plane seat choice
2444,know check online
2445,fly sector aegean kiev heraklion athen belgrade
2446,level service consistent
2447,warm meal serve flight kiev hour
2448,candy distribute departure nice touch certainly cost
2449,legroom good air serbia seat
2450,flight belgrade serve sandwich twice big competitor route low quality
2451,basically bread bun
2452,recommend aegean main downside ath airport unfriendly proper space rest area long transit
2453,polite attentive crew
2454,
2455,ife nice legroom good meal long flight
2456,board ath time remote stand like low cost carrier cold windy weather
2457,luggage policy seldomly apply station strict bag policy wizz air ryanair pay attention
2458,proper business class
2459,poor quality meal short flight
2460,ath airport aegean unattractive transit airline making poor transfer wait time long hour frequent winter
2461,reach athen spend night expensive time consume distance city kilometer
2462,athen paris cdg aegean airline
2463,48h prior departure passenger receive email encourage check online choose seat free charge
2464,try online check minute 48h seat map flight appear able change allocate seat
2465,constant situation year affect passenger flexible fare
2466,centre unable unwilling help simply confirm practice preseat allow seat friend colleague share book reference
2467,experience aegean drop check ath awful especially flight depart cabin crew member general distant indifferent necessarily polite
2468,service board average
2469,instead care comfort passenger aegean crawl family aegean family
2470,avoid airline travel kid
2471,chance decent service
2473,airline like passenger walkway terminal sector bus tranport use
2474,arrive larnaca space available enjoy bus ride terminal
2475,inflight service professional brand new a320 punctual flight despite fare breakfast expectation
2476,mention high cost suitcase short flight
2477,usual pleasant experience aegean fly athen paris
2478,modern clean aircraft good food
2479,aegean remain airline serve hot meal appreciate deserve applaud
2480,crew professional groom leg
2481,return flight paris request newspaper boarding bring seat distribute business class passenger
2482,excellent service flight director request
2483,available flight log reason
2484,flight entertainment need improve
2485,music
2486,overall look forward fly aegean
2487,rome athen great flight usual aegean airline
2488,flight slightly schedule land time
2489,inflight meal good portion long flight
2490,flight attendant helpful nice help passenger cabin luggage stowage nice
2491,cabin luggage policy strict appreciate
2492,cabin clean consistent aegean
2493,good price aegean offer great value money retain high standard service
2494,
2495,suggestion aegean introduce inflight wifi personal entertainment monitor
2496,flight dull boring
2497,amsterdam athen aegean airline
2498,fly airline expectation weren high
2499,luck fly new plane include sharklet
2500,airborn stewardess serve hot meal cold warm beverage
2501,supris hour flight
2502,smooth ride land right schedule athen
2503,overall experience aegean great look forward fly
2504,flight athen paris paris ioannina athen
2505,cabin crew attentive smile courteous
2506,aircraft seat toilet clean
2507,opinion flight meal need upgrade fee economy class passenger
2508,lack variety quantity
2509,bar tea coffee service excellent
2510,athen ioannina flight smooth comfortable aboard olympic air bombardier q400 turboprop aircraft
2511,cabin attendant wonderful
2512,think aegean olympic air consistently pride greece amid pessimism depression
2513,flight aegean pleasant previous
2514,mile bonus gold card travel companion complimentarily upgrade business class tasty meal round excellent greek wine
2515,return flight announce cancel strike air traffic control
2516,company reach phone airport absolutely home planed day endure return athen switzerland follow rout taxi patra ferry bari italy rental car bari rome flight rome geneva
2517,apart length trip hour total cost euro
2518,surprise satisfaction aegean airline reimburse expense
2519,pleased treatment case definitely fly aegean
2520,berlin athen aegean airline
2521,good kind ground cabin staff service
2522,seat comfortable lot space seat row
2523,food delicious
2524,try greek traditional food
2525,personally think big plus aegean airline european airline pay board food beverage glass water
2526,milan athen aegean airline
2527,normal flight normal condition
2528,depart schedule arrive likewise
2529,short haul flight onboard food beverage basic good
2530,correct english flight attendant plus
2531,direct flight milan athen
2532,fly stockholm athen return athen santorini cairo athen
2533,flight good time
2534,great meal board include ticket price surprise intra continental flight simple snack sandwich include
2535,nice staff overall
2536,seat decent need stand point flight
2537,
2538,athen warsaw aegean airline
2539,regular flyer especially route little choice carrier feel airline avoid use terminal walkway reason anybody guess choose use good old tiring bus
2540,experience flight aegean larnaca munich madrid
2541,case recent flight way warsaw
2542,good old bus athen airport semi dark ground floor airport walkway pedestrian walk end
2543,bus service happen airline aegean probably hard luck
2544,breakfast ugly little spinach pie coffee return flight dinner good
2545,plane look clean tidy inflight magazine look horribly overused
2546,flight smooth punctual appreciate professionalism cabin attendant willing help
2547,thessaloniki stockholm athen
2548,aegean airline airline high cost value
2549,seat small uncomfortable lack inflight entertainment
2550,food bad portion pretty small
2551,onboard wifi overhead screen play advertisement
2552,cabin light short flight
2553,chania tehran athen
2554,aegean bring joy fly air
2555,tray service offer warm tasty food short haul flight amazing
2556,fly europe tehran recently wonderful experience greece air
2557,nice smile enthusiastic work
2558,hub ath comfortable clean
2560,good mid haul flight year
2561,seat comfortable leg room regular economy seat pay exit row seat airline good news partner tall
2562,offer sweet drink flight free meal rarity day
2563,criticism handing food chaotic staff walk plane distribute meal seemingly random pattern
2564,fantastic experience
2566,fly business class time international flight
2567,flight time aircraft clean
2568,cabin crew friendly confident genuine smile
2569,need relate legroom space
2570,pre flight drink offer option choose water orange juice sparkle wine
2571,course dinner main course choose delicious
2572,range different coffee choose
2573,far experience aegean positive
2574,reliable company cabin crew know flight enjoyable
2575,furthermore offer good quality price relationship
2577,child non friendly airline
2578,travel year old mom month old daughter
2579,think help priority staff interested help
2580,try manage luggage overhead compartment blank stare
2581,highly recommend airline family think pride family service
2582,experience aegean airline bad
2583,trip milan rhode athen return october experience effect strike october 2016
2584,flight cancel
2585,warning incoming strike time route accomodation
2586,line check forbid flight explanation
2587,arrive thode airport check oct afternoon ground staff tell flight milan cancel
2588,willing help address mile long queue exchange flight
2589,aegean strike warn customer believe normal reason complain
2590,answer happen
2591,flight start hour delay
2592,arrive athen spend night queue angry people wait ticket office aegean solution
2593,strike recall flight remain cancel
2594,hour queue solution add stopover vienna austrian airline
2595,sleep hotel staff member ensure taxi trip offer write customer service answer true
2596,come home hour later expect
2597,milan malpensa athen return
2598,flight time aircraft clean good legroom
2599,nice receive hot meal beverage
2600,good service onboard nice crew
2601,low fare company aegean stand good relationship quality price
2602,look forward fly
2603,second time fly aegean month london heathrow mytilene athen fly aegean time fly whereever possible
2604,aegean ground staff check cabin crew ground crew final place
2605,flight time include connect return flight look drink meal fly joy
2606,athen geneva
2607,fly aegean airline problem
2608,check online couldn complete booking stand
2609,waiting check athen airport long reasonable
2610,ask tag bag final destination different booking montreal air canada partner airline
2611,let check lady try
2612,probably booking stand
2613,priority tag bag end come fast geneva
2614,flight seat leave
2615,cabin crew interact passenger
2616,service onboard good hot meal provide choice drink free charge
2617,inflight entertaiment video feature tourist attraction greek island
2618,overall aegean airline good offer good range destination limit europe destination middle east
2619,recommend airline
2620,fly aegean airline twice month regular basis commute france work greece home
2621,thing relatively equal available carrier paris athen route definitely airline choice
2622,random thing like emphasize cabin crew impeccably behave present ready accommodate request
2623,air provide flight interesting compensate lack individual screen cabin
2624,hope content constantly update enriched disappointment flight day oblige browse material reserve business class passenger typically flight plane seating capacity lot sense occasionally create lot discomfort economy class passenger
2625,undermine premium service afford business class passenger aegean consider derogation policy
2626,mile bonus silver member look forward upgrade golden tier soon
2627,silver member believe reconsider silver tier benefit particular coupon complimentary access business class lounge offer greek airport int
2628,experience aegean positive reliable efficient modern far pleasant professional cabin crew
2629,downside experience merely minor improvement challenge
2630,lille athen return aegean airline
2631,outbound flight great offer nice meal great white wine
2632,inbound flight morning flight wine meal nice kind spinach tomato pie accompany large yogurt honey bun cheese butter
2633,unfortunately inbound flight bumpy croatia alp service suspend point
2634,fact return vacation help fully enjoy flight miserable
2635,good experience aegean fly regularly paris plane clean comfortable
2636,return flight vienna athen connect onwards olympic air
2637,fantastic airline start easy booking process smooth web checkin opportunity select reasonable seat hit manner surcharge
2638,airport short swift queue drop luggage follow timely boarding time departure way
2639,onboard greet pleasant elegantly dress hostess sweet meal bar service tea coffee
2640,overhead tvs map time arrival flight
2641,comfortable enjoyable rare experience
2642,fly aegean airline home recent holiday mykonos
2643,mile bonus gold member upgrade complimentary business class athen geneva leg wonderful
2644,perfectly look maitre cabine serve delicious meal tasty wine
2645,transit athen quick painless additional security check
2646,thing aegean improve separate counter gold member mykonos airport appreciable queue bag drop minute
2647,london mykono athen return
2648,efficient quick check lhr terminal
2649,boarding process handle non aegean ground staff badly organised scrappy
2650,meet door polite immaculate look crew smile warm greeting
2651,min late drink service shortly
2652,good selection soft drink plus small bottle red white wine meal
2653,hit bad turbulence meal service start captain illuminate fasten seat belt sign announcement service suspend
2654,flight
2655,crew manage check cabin ensure passenger commendable consider bumpy flight
2656,turbulence subside hour land athen crew recommence meal service understanding time
2657,tray cup clear minute leave landing
2658,land athen minute early
2659,mark crew handle difficult situation professionalism charm
2660,appear stressed comforting sight uneasy passenger
2661,captain inform soft landing
2662,
2663,great flight apart bump great food
2664,fly prague heraklion direct nice thing discover normally fly crete athen
2665,time choose aegean airline amazing warm experience
2666,convenient departure time new clean modern aircraft
2667,moment step plane feel warmth greek hospitality
2668,think strong aspect cabin crew
2669,smile look confident approachable enjoy job
2670,happy discover expand route direct flight europe
2671,look forward fly aegean
2672,airport staff düsseldorf airport friendly accommodate check bag drop counter open hour flight lot time actually open counter
2673,efficient fast
2674,seat flight comfortable ample regional midrange operation company lack board entertainment evident
2675,food despite taste good small portion fact hot beverage serve düsseldorf athen leg appreciate
2676,athen airport nice easily navigable efficient layover long hour boring food option
2677,duty free shopping option broad time pass
2678,flight attendant nice
2679,aegean airline offer consistent level good service good price jordan
2681,paris athen august
2682,upgrade business class nice touch status
2683,legroom food adequate choice cabin crew attentive
2684,inflight entertainment promotional video greece flight
2685,arrive time luggage delivery super fast excellent hour flight
2686,overall aegean high quality airline
2687,athen tbilisi august
2688,athen airport easy navigate supportive ground staff
2689,surprised priority boarding enforce aegean airline boarding start time
2690,onboard economy cabin clean modern cabin
2691,legroom cabin crew good job attentive passenger
2692,hot meal serve good point quality meal average baked pasta meat
2693,overall good flight meal service economy class improve especially comparison turkish airline lufthansa route europe georgia
2694,recommend aegean airline hesitation reliable regional airline
2695,fly week athen corfu aegean airline
2696,excellent experience professional friendly crew clean aircraft time departure
2697,receive snack beverage minute flight
2698,ife route map
2699,seat comfortable big legroom
2700,definitely value money pay return flight high season
2701,recommend aegean
2702,fly athen paris thessaloniki
2703,flight time
2704,cabin new clean flight
2705,cabin crew efficient smile
2706,receive hot breakfast flight captain flight information
2707,overall good performance
2708,definitely fly
2709,stuttgart thessaloniki aegean airline
2710,friendly courteous staff good food beverage offer choice taste composition great service
2711,pleasure
2712,fly heraklion london gatwick
2713,thing impress size legroom available
2714,expect
2715,row particularly tall man able stretch cross leg comfortably
2716,certainly helpful store bag stretch
2717,crew cabin professional helpful food nice bit stingy olive greek salad
2718,flight need option decent ife travelogue greece sadder love crete want leave
2719,wifi service good idea flight
2720,fly chance enjoyable experience
2721,london heathrow larnaca
2722,time fly aegean family adult teenager child
2723,
2724,nervous flier sceptical fly travel agent good worry
2725,right
2726,crew friendly remind fly child sweet cute pilot badge kid creme creme hot meal meal day lovely touch round drink offer awesome thing improve time outbound flight flight entertainment
2727,thank enjoy fly
2728,happy fly aegean airline
2729,fly brussel athen
2730,professional flight time good food board clean aircraft happy male cabin crew time
2731,inflight entertainment improve
2732,people nowadays tablet mobile try different video
2733,
2734,
2735,day lucky lucky
2736,fly aegean airline heraklion copenhagen
2737,comfortable seat cabin
2738,able fly hour non stop excellent customer service tasty meal lot free beverage
2739,friendly cabin crew smile service minded
2740,nice welcome candy meal unlimit free coffee tea water
2741,
2742,flight london wonderful experience
2743,seat leather comfortable
2744,food taste good reflect greek gastronomy
2745,staff happy serve smile
2746,thing like flight ife
2747,hour flight promo film greece play hour map
2748,manage watch hour film island mountain city greece
2749,map flight good passenger quick look watch outside window
2751,arrive excellent athen airport uncomfortable unpleasant flight swiss
2752,aegean airline check busy nearly desk man queue time minimal
2753,check polite professional board gate direction explain perfect english
2754,clean look a320
2755,welcome board immaculate look cabin crew ready smile
2756,engage passenger board nice especially child
2757,offer basket sweet pre
2759,
2760,drink short flight individually wrap biscuit offer passenger napkin
2761,nice touch
2762,perfect english announcement purser captain flight land early
2763,great service
2764,aegean deserve award star status
2765,inflight mag lovely picture greece
2766,fly aegean airline 2016 milan athen
2767,honestly speak price ryanair route different airport check obviously choose milan malpensa believe fly want comfort
2768,aegean airline friendly staff free cabin beverage food flight
2769,flight time seat comfortable
2770,drink lot water kindly ask time water provide second thought
2771,negative expect future flight entertainment personal screen wifi connectivity
2772,aegean airline summer connect lot international passenger greek island think summer consider
2773,example air canada personal screen passenger flight toronto ottawa
2774,final note blue magazine amazing read discover beautiness greece
2775,thessaloniki frankfurt
2776,aegean airline great job flight
2777,allow board bus directly lounge thessaloniki airport save time hassle business fqt passenger
2778,thessaloniki lounge special definitely need toilet remote easy
2779,staff ground air friendly
2780,cabin look spotless clean catering delicious
2781,course meal main course choose regular choice plus monthly special choose rooster ragout sweet wine sauce greek pasta
2782,special business class seating normal economy seat middle seat leave free extra space
2783,flight travel magazine video screen kind inflight entertainment
2784,fly aegean airline couple time disappoint
2785,mykono athen
2786,busy check mykonos airport handle smile courtesy
2787,time departure clean a320 inside
2788,cabin crew immaculate
2789,elegant speak perfect english service smile impeccable manner
2790,short flight individually wrap cookie
2791,captain good announcement land early
2792,aegean airline deserve award star status
2793,good big airline
2794,vienna heraklion athen aegean airline
2795,bording procedure efficient welcome drink glass champange serve genuine smile
2796,food drink selection superb astonish range different coffee espresso cappucino available shorthaul flight ath
2797,likewise quality meal beverage meet expecation fully
2798,mention crew outstandingly good job care little feel welcome passenger
2799,plane punctual priority disembark work remarkably flight
2800,overall provide excellent product look forward fly aegean
2801,copenhagen athen return aegean airline
2803,aircraft new clean
2804,seat bit comfortable
2805,good legroom european standard
2806,
2807,overhead screen display promotional video greece
2808,cph ath leg serve warm meal delicious
2809,round drink choose type red wine type white wine beer juice soda lot coffee tea
2810,return flight good
2811,tasty warm breakfast serve include yoghurt honey
2812,lot drink alcoholic morning flight
2813,difference flight genuine smile crew enjoy job
2814,definitely use airline fly greece
2815,fly month athen geneva a320
2816,mobile check good mobile app
2817,ground service excellent athen airport
2818,flight fully book depart time
2819,cabin crew member professional friendly enjoy
2820,hour flight serve hot meal include pasta salad cracker tasty lemon pie
2821,lot drink complimentary alcoholic
2822,monitor route map promo video greece
2823,ife short flight
2824,arrive geneva time
2825,recommend aegean excellent service kindness punctuality
2826,notch airline europe prefer airline operate route
2827,fly london heathrow naxos athen
2828,time fly aegean impressed
2829,check heathrow speedy painless staff helpful smile
2830,plane clean new food service excellent staff enjoy job
2831,return journey good
2832,fly airline route
2833,rhod london gatwick heraklion
2834,line check lovely warm welcome agent
2835,flight board efficiently friendly kind crew
2836,lot drink nice food genuine feeling greek hospitality
2837,load leg room tall brit like
2838,time
2839,highly recommend
2840,preferable shambolic unprofessional uncomfortable flight british airway direction
2841,time fly aegean connect flight athen lesbos unsure expect moment contact check greet friendly staff tell worry bag time final point pick
2842,flight old school free drink free meal serve warm staff nice touch flight smoothly
2843,connection athen airport smooth easy fuss second flight final destination smooth
2844,return flight end good service
2845,fly route september aegean book view book october
2846,fly munich athen thessaloniki
2847,aegean airline example european economy class carrier
2848,clean modern cabin professional friendly crew fantastic service board
2849,ife average flight germany greece hour need
2850,aegean promote good way greek cuisine hospitality
2851,fantastic breakfast greek yoghurt honey tiropita cheese pie wide choice complimentary drink alcoholic
2852,pay carrier aegean choice
2853,book aegean airline santorini avoid summer craze
2854,website easy use automatically provide italian acces italy
2855,check smoothly speedy rome
2856,cabin new clean seat standard like lufthansa
2857,warm meal provide tasty
2858,boyfriend kosher meal serve specify website
2859,highlight trip stewardess happy fly time attending serviceable major european airline fly
2860,magazine wait seat company solo flyer flight entertaiment provide
2861,drop screen route plane weather information destination promotional video greece
2862,arrive athen bord second flight quickly way santorini
2863,story good fco ath flight minus meal
2864,fly future visit greek island
2865,athen zurich
2866,fly business aegean airline enjoy comfort service
2867,second time good
2868,priority boarding work crew welcome caring
2869,impressed attention people board walk stair aircraft flight attendant notice mother baby end queue immediately react priority
